а	而，却，可是
шарф	围巾
шахматы	象棋
шея	脖子
шкаф	柜子
школа	学校
шоколад	巧克力
штора	窗帘
шуба	毛皮大衣，皮袄
шум	噪音，嘈杂声
шутка	笑话
этаж	层
юноша	青年


Урок 5


аптека	药房
весь, вся, всё, все	全部
вторник	星期二
газета	报纸
где	哪里
громко	大声
девушка	姑娘
дедушка	[外]祖父
день	天，日
дети	孩子
диктант	听写
друзья	朋友们
дядя	叔叔
здание	建筑物
здесь	这里
здравствуйте	您好
зеркало	镜子
зима	冬天
инженер	工程师
иностранец	外国人
иностранка	女外国人
институт	学院
июнь	六月
картина	图片，画
квартира	住宅，寓所
книга	书
конец	最后，结束
костюм	西服
кровать	床
кухня	厨房
ладонь	手掌
магазин	商店
математик	数学家
математика	数学
мать	妈妈
молодец	好样的
музей	博物馆
небо	天空
нет	不，不是
одежда	衣服
один	一 
озеро	湖
осень	秋天
отдыхать	休息
отец	父亲
письмо	信
платье	连衣裙
понятно	明白
путь	道路，路线
работать	工作
радио	无线电
сегодня	今天
скатерть	桌布
спасибо	谢谢
стадион	体育场
стена	墙
страница	页，面
студент	大学生
студентка	女大学生
театр	剧院
текст	课文
тело	事
тема	主题
тепло	温暖
термометр	温度计
тетрадь	练习本
тётя	阿姨，姑姑，大妈
тихо	安静
упражнение	习题
утюг	熨斗
фонетика	语音学
художник	画家


Урок 6


ангина	咽峡炎
бинт	绷带
биолог	生物学家
биология	生物学
буфет	小吃部
вас	你们
вилка	叉子
вирус	病毒
витамин	维他命
вместе	一起，同时
гигиена	卫生，卫生措施
гитара	吉他
декан	系主任
деньги	钱
доска	黑板
знать	知道
извини(те)	对不起
имя	名字
кабинет	办公室
какой, какая, какое, какие	什么样的
кафедра	教研室
кефир	酸奶
кино	电影
кинозал	电影厅
кинотеатр	电影院
киоск	售货亭
конверт	信封
кофе	咖啡
красивый	漂亮的
магнитофон	录音机
меня	我
место	地方，位置
метро	地铁
мир	世界，和平
наверху	在上面
нас	我们
новый	新的
обед	午饭
ответ	回答，答案
очень приятно познакомиться	非常高兴认识
проспект	大街
пятница	星期五
пять	五
семь	七
семья	家庭
сестра	姐妹
старый	老的，古老的
стихи	诗句
тебя	你
физик	物理学家
физика	物理学
химик	化学家
хирург	外科医生
язык	语言，舌头


Урок 7


белорусский	白俄罗斯的
вещь	东西
врач	医生
вчера	昨天
делать	做
дочь	女儿
ещё	还
ещё раз	再来一次
журнал	杂志
конечно	当然
космонавт	宇航员
медицинский	医学的
минский	明斯克的
музей	博物馆
общежитие	宿舍
очень	很，非常
площадь	广场，面积
познакомьтесь	认识
покажи(те) (что?)	展示
почему	为什么
почта	邮局
русский	俄语的
ручка	手
сейчас	现在
сначала	开始，首先
учебник	教科书
чай	茶
час	小时
часы	钟，表
чей, чья, чьё, чьи	谁的
человек	人
читать	读
что?	什么
что это?	这是什么




Урок 8


аудитория	教室
балет	芭蕾舞
баскетбол	篮球
библиотека	图书馆
билет	票，证
болен, больно, больны	疼
больница	医院
волейбол	排球
восемь	八
говорить	说
грипп	流行感冒
дверь	门
девять	九
декабрь	十二月
десять	十
диван	沙发
директор	经理
домашнее задание	家庭作业
здесь	这里
интересный	有趣的
иранец	伊朗人
историк	历史学家
история	历史
июль	七月
кашель	咳嗽
ключ	钥匙
коридор	走廊
кресло	圈椅
лаборатория	实验室
лекарство	药
лекция	讲义
лес	树林
лето	夏天
линейка	直尺
любить (что? кого?)	爱
люди	人们
медленно	慢
море	海
мороженое	冰淇淋
мультфильм	动画片
например	例如
неделя	星期

нельзя	
不准，不许
немного	不多
неправильно	不对
новый	新的
ноль	零
ноябрь	十一月
октябрь	十月
пальто	大衣
передача	转播
перерыв	休息
писатель	作家
по-английски	用英语
по-арабски	用阿拉伯语
подготовительный факультет	预科系
по-испански	用西班牙语
поликлиника	门诊部
по-немецки	用德语
понимать (что? кого?)	明白
по-русски	用俄语
потому что	因为
по-французски	用法语
правильно	对
предложение	句子
прекрасно	漂亮
преподаватель	教师
привет	问候，致意
разный	不同的
река	河流
ректор	大学校长
родители	父母
рубль	卢布
ряд	排
рядом	并排，在旁边
сентябрь	九月
серьёзно	严肃
словарь	词典
слушать (что? кого?)	听
смотреть (что?)	看
соль	盐
среда	星期三
телевизор	电视
телефон	电话
товарищ	同志
три	三
улица	街道
факультет	系
фамилия	姓
фильм	影片
хлеб	黑面包
хоккей	冰球
холодильник	冰箱
четыре	四
читать (что?)	读
шесть	六
школьник	学生
школьница	女学生
январь	一月


Урок 9


в	在...里面，去...
вечером	在傍晚
восемнадцать	十八
восемьдесят	八十
даже	甚至
двадцать	二十
двенадцать	十二
девяносто	九十
девятнадцать	十九
детектив	侦探小说
днём	在白天
жить (где?)	住
завтракать (где?)	吃早饭
на	在...上面
ночью	夜里
обедать	吃午饭
одиннадцать	十一
писать (что?)	写
пятнадцать	十五
пятьдесят	五十
семнадцать	十七
семьдесят	七十
сорок	四十
тридцать	三十
тринадцать	十三
ужинать (где?)	吃晚饭
университет	大学
упражнение	习题
утром	在早上
учиться (где?)	学习
фабрика	工厂
часто	经常
четырнадцать	十四
шестнадцать	十六
шестьдесят	六十


Урок 10


в гости	去做客
вечером	在傍晚
волосы	头发
запиши(те) 	记下
знакомый	认识的
интересный	有趣的
маленький	小的，年轻的
образец	样品,典范,榜样
обычно	通常
ответь(те)	回答
переводчик	译者
повторяй(те)	重复
прочитай(те)	请读
рад, рада, рады	高兴
свободное время	空闲时间
скоро	很快，将要
словосочетание	词组
	
слушай(те)	请听
составь(те)	排列，摆放
статья	论文，文章
с удовольствием	很好，很高兴
чёрный	黑色的


Урок 11


быть	在，存在
видеть (кого? что?)	看
деканат	系主任办公室
ждать (кого? что?)	等待
занят, занята, заняты	占，忙
когда?	什么时候
кого?	谁
раньше	早，以前
сосед	邻居
соседка	女邻居
точно	确定


Урок 12


белорус	白俄罗斯人
изучать (что?)	学习
купить (что?)	买
минчанин	明斯克人
откуда?	从哪来？
приехать	到达，来到
филолог	哲学家
хотеть	想
экономист	经济学家


Урок 13


восемьсот	八百
гостиница	旅馆
двести	二百
девятьсот	九百
ехать (куда?)	行驶
кассета	磁带
книжный магазин	书店
куда?	去哪？
называться	叫做，是
находиться (где?)	位于
оперный театр	歌剧院
пластинка	唱片
поезд	火车
пятьсот	五百
семьсот	七百
сколько? сколько стоит?
	多少？值多少钱？
современный	现代的
студенческий	学生的
сувенир	纪念品
сюда	到这里
такси	出租车
трамвай	有轨电车
триста	三百
троллейбус	无轨电车
туда	去那边
тысяча	一千
четыреста	四百
шестьсот	六百
экономический	经济的
экскурсия	参观，旅游


Урок 14


бар	酒吧
бассейн	水池
выучить (что?)	学会
долго	长久
жизнь	生命，生活
забыть (кого? что?)	忘记
задача	习题
зоопарк	动物园
иногда	有时
как дела?	过得怎么样？
лёгкий	轻的，容易的
наизусть	背熟
наука	科学
перевести (что?)	迁到，调派
переводить (что?)	翻译
прочитать (что?)	读完
разве	难道，真的吗?
решать (что?)	解决，算出
решить (что?)	解决，算出
свежий	新鲜的
сделать (что?)	做
техника	技术，工程
трудный	难的
учить (что?)	学习
цветы	花
четвёртый	第四


Урок 15


адрес	地址
давать (что? кому?)	给
дарить (что? кому?)	赠送
дать (что? кому?)	给
день рождения	生日
деревня	农村
ответить (кому?)	回答
отвечать (кому?)	回答
подарить (что? кому?)	赠送
покупать (что?)	买
помогать (кому?)	帮助
помочь (кому?)	帮助
построить )что?)	建筑，建造
спросить (что?)	询问，打听
строительный отряд	建筑队
строить (что?)	建筑，建造


Урок 16


актовый зал	活动大厅
встреча	相遇，见面
выполнить (что?)	完成
выполнять (что?)	完成
выступать (где?)	出发
выступить (где?)	出发
выступление	发言
готовить (что?)	准备
дискотека	舞厅
замечательный	出色的
затем	随后
который час?	几点了？
кроме	除...之外
медицина	医学
мечтать	幻想
обязательно	必须
певец	歌唱家
передавать (что? кому?)	转交，通知，转给
передать (что? кому?)	转交，通知，转给
пять	五
повторить (что?)	重复
повторять (что?)	重复

подождать (кого?)	
等一等
позавчера	前天
послезавтра	后天
приглашение	邀请，请帖
приготовить (что?)	准备好
процент	百分数
расписание занятий	课程表
рассказать (что? кому?)	讲述
рассказывать (что? кому?)	讲述
секрет	秘密
сколько времени?	几点了
собрание	会议
совет	建议
снять (что?)	取下，摘下，脱下
старший	年老的
танцевать (что?)	跳舞
фойе	[剧场]休息室
церковь	教会
черчение	绘图
экзамен	考试


Урок 17


весёлый	愉快的
год	年
месяц	月，月份
минута	分钟
почти	差不多
разговаривать (с кем?)	谈话
теннис	网球


Урок 18


главный	主要的
детектив	侦探小说
известный	有名的
колледж	中等专科学校
любовь	爱情
ошибка	错误
природа	大自然，自然界
редко	稀有，罕见
родиться	出生
спорить	争吵


Урок 19


болеть	生病
бульвар	街心公园
выпускать	生产
горло	喉咙
градус	度
дворец	宫，殿
должен, должна, должны	应该
жаркий	热的
желудок	胃
линия метро	地铁线
мало	少
миллион	百万
много	多
независимость	独立性
несколько	几个，一些
нужно	需要
основать (что?)	成立，设立
отлично	优秀
правительство	政府
сердце	心脏
температура	温度
тёплый	温暖的，暖和的
чувствовать себя	自我感觉


Урок 20


воскресенье	星期天
горячий	热的
гулять	散步，游玩
подарок	礼物

















СЛОВАРЬ

А


а	而，却，可是
автобус	公共汽车
автомобиль	汽车，轿车
автомобильный	汽车的
адрес	地址
активный	积极的，主动的
актовый зал	活动大厅
ангина	咽峡炎
английский	英国的
англо-русский	英俄的
аптека	药房
арабский	阿拉伯的
арабско-русский	阿拉伯-俄语的
артист	演员
артистка	女演员
аудитория	教室
	


Б


бабушка	[外]祖母，老大娘
балет	芭蕾舞
банк	银行
банка	筒，盒，[火]罐
бар	酒吧
баскетбол	篮球
бассейн	水池
батон	面包棍
белорус	白俄罗斯人
белорусский	白俄罗斯的
библиотека	图书馆
билет	票，证
бинт	绷带
биолог	生物学家
биология	生物学
блокнот	拍纸簿，活页本
болен, больна, больны	有病，疼
болеть	生病
больница	医院
брат	哥哥，弟弟，兄弟
буква	字母
булка	小白面包
бульвар	街心花园
бумага	纸
буфет	小卖部，小吃店
быстро	快
быть (где?)	有，存在

В


в	到，向，进
ваза	花瓶
вас	你们
вата	棉花
ваш	你们的
весёлый	快活的，愉快的
весь, вся, всё	全部
вечер 	傍晚
вечером	在傍晚
вещь	东西
взять (что?)	拿，取
видеть (кого? что?)	看见
вилка	叉子
вирус	病毒
витамин	维他命
вместе	一起，同时
внимательно	注意
вода	水
возьми(те) 	拿
волейбол	排球
волосы	头发
вопрос	问题
восемнадцать	十八
восемь	八
восемьдесят	八十
восемьсот	八百
воскресенье	星期天
вот	这就是
врач	医生
встреча	相遇，见面
вторник	星期二
второй	第二
вход	入口
вчера	昨天
вы	您，你们
выполнить (что?)	完成，执行
выполнять (что?)	完成，执行
выпускать (что?)	放出，毕业，生产
выпустить (что?)	放出，毕业，生产
выставка	展览会
выступать (где?)	出发
выступить (где?)	出发
выступление	出发，发言
выучить (что?)	学会
выход	出口
	


Г


газета	报纸
где	在哪？
геологический	地质学的
гигиена	卫生，卫生措施
гитара	吉他
главный	主要的
глагол	动词
глаз	眼睛
говорить	说
год	年
голова	头
горло	喉咙
город	城市
горячий	热的
гостиница	旅馆
гость	客人
готовить (что?)	准备，做
градус	度
грипп	流行感冒
громко	大声，响亮
группа	班，组，队
гулять	散布，游玩
	


Д


да	是
давать (что? кому?)	给
давно	很久以前
даже	甚至
дай(те)	给
дарить (что? кому?)	赠送
два	二
двадцать	二十
двенадцать	十二
дверь	门
двести	二百
дворец	宫，殿
девушка	姑娘
девяносто	九十
девятнадцать	十九
девятый	第九
девять	九
девятьсот	九百
дедушка	[外]祖父
декабрь	十二月
декан	系主任
деканат	系主任办公室
делать (что?)	做

день: какой сегодня день?	

天，日：今天星期几？
день рождения	生日
деньги	钱
деревня	农村
десятый	第十
десять	十
детектив	侦探小说
дети	孩子
диван	沙发
диктант	听写
директор	经理
дискотека	舞厅
днём	在白天
доктор	医生，博士
долго	长，久
дома	在家里
домашнее задание	家庭作业
домой	回家
дорога	道路
до свидания	再见
доска	黑板
дочь	女儿
друг	朋友
друг друга	互相
дружба	友谊
дружный	友爱的，和睦的
друзья	朋友们
думать	想
душ	淋浴
дядя	叔叔
	


Е


его	他的
её	她的
если	如果
есть: у меня есть	有：我有
ехать	乘，行驶
ещё	还，再
ещё раз	再来一次
	


Ж


жаль	可惜
жар	热，热情
жаркий	热的，炎热的
жарко	热
ждать (кого? что?)	等待
желудок	胃
желать	希望
жена	妻子
женщина	女人
жизнь	生活，生命
жить (где?)	生活
журнал	杂志
журналист	新闻工作者
	


З


забыть (что? кого?)	忘记
завод	工厂
завтра	明天
завтрак	早餐
завтракать	吃早餐
задача	习题
зал	大厅
замечательный	出色的
занят, занята, заняты	占，忙
запиши(те)	记下
затем	以后，随后
звук	声音
здание	建筑物
здесь	这里
здравствуйте	您好
земля	地球，土地
зеркало	镜子
зима	冬天
знакомый	熟悉的
знать (что? кого?)	知道
значить: это значит	就是说，可见
зовут: меня. тебя, вас, его, её зовут	称呼:我，你，你们，他，她称呼
зонт	雨伞
зоопарк	动物园
зуб	牙齿
	


И


и	和
играть	游戏
идти (куда?)	去
из	来自，从
известный	有名的
извини(те)	对不起
изучать (что?)	学习
или	或者
имя	名字
инженер	工程师
иногда	有时
иностранец	外国人
иностранка	女外国人
иностранный	外国的
институт	学院
интересно	有趣
интересный	有趣的
интернациональный	国际主义的
иранец	伊朗人
испанский	西班牙的
испанско-русский	西班牙-俄语的
историк	历史学家
история	历史
июль	七月
июнь	六月
	

К


кабинет	办公室
каждый	每一个
кажется	认为
как	怎样
как вас зовут?	您的名字叫什么？
как дела?	过得好吗?
какой, какая, какое, какие ?	什么样的
капуста	包菜
карандаш	铅笔
карта	地图
картина	画,图画
кассета	磁带
кафе	咖啡馆
кафедра	教研室
капель	水滴
квартира	住宅,寓所
кефир	酸奶
километр	公里
кино	电影
кинозал	电影厅
кинотеатр	电影院
киоск	售货亭
класс	班级
клуб	俱乐部
ключ	钥匙
книга	书
книжный магазин	书店
когда?	什么时候?
кого?	谁
комната	房间
конверт	信封
конец	最后,结束
конечно	当然
конструктор	设计师
контрольная работа	测验
концерт	音乐会
коридор	走廊
космический	宇宙的
космонавт	宇航员
космос	太空,宇宙
костюм	西服
кот	公猫
который час?	什么时间?
кофе	咖啡
красивый	漂亮的
кресло	圈椅
кровать	床
кроме	除...之外
кто	谁
кто он?	他是谁?
кто это?	这是谁?
куда?	去哪里?
купить (что? где?)	买
кухня	厨房
	


Л


лаборатория	实验室
ладонь	手掌
лампа	灯泡
лёгкий	轻的，容易的
лекарство	药
лекция	讲义
лес	树林
лето	夏天
летом	在夏天
линейка	尺子
линия метро	地铁线
ложка	勺子
любить	爱
люди	人们
	


М


магазин	商店
магнитофон	录音机
май	五月
мало	少，小，不足
мама	妈妈
марка	邮票
масло	油
математик	数学家
математика	数学
мать	母亲
машина	汽车
медицина	医学
медицинский	医学的
медленно	慢
меня	我
место	地方，位置
месяц	月，月份
метро	地铁
мечтать	幻想
миллион	百万
минский	明斯克的
минус	减，减号，负号
минута: на минуту	分钟

минчанин	
明斯克人
мир	世界，和平
много	多
могу: я (не) могу пойти	能，能够
мой, моя, моё, мои	我的
может быть	可能
можно	能
молодец	好样的
молоко	牛奶
море	大海
мороженое	冰淇淋
музей	博物馆
музыка	音乐
музыкант	音乐家
мультфильм	动画片
мы	我们
мыло	肥皂
	

Н


на	在...上面
наверху	在上面
называться	叫做，是
наизусть	背熟
написать (что?)	写下
например	例如
народный	民族的
нас	我们
наука	科学
находиться (где?)	位于...座落在
наш, наша, наше, наши	我们的
небо	天空
невеста	未婚妻,新娘
недавно	不久以前
неделя	星期
независимость	独立性
некоторые	某些,有些
нельзя	不行
немного	不多
неплохо	好
неправильно	不对
несколько	一些,几个
нет	不,不是
ничего	没关系,什么也没有
но	但是,可是
новый	新的
нога	腿,脚
нож	刀
ноль	零
номер	号码
нос	鼻子
ночью	夜间
ноябрь	十一月
нужно	需要
	


О



обед	午饭
обедать	吃午饭
образец	样品,典范,榜样
общежитие	宿舍
объявление	宣布
обычно	平常，普通
обязательно	必须
одежда	衣服
один	一
одиннадцать	十一
озеро	湖
окно	窗户
октябрь	十月
он, она, оно, они	他，她，它，他们
оперный театр	歌剧院
опоздать	迟到
опять	又
основать (что?)	成立
остановка	车站
ответ	答案，回答
ответить (что? кому?)	回答
ответь(те) (что? кому?)	请回答
отвечать (что? кому?)	回答
отдыхать	休息
отец	父亲
открытка	明信片
откуда?	从哪里
отлично	很好，优秀
очень	很，非常
очень приятно	非常乐意
ошибка	错误


П


павильон	小亭，陈列室
пальто	大衣，外套
папа	爸爸
папка	纸夹
парк	公园
певец	歌唱家
первый	第一
перевесим (что?)	再称，挂到另一个地方
переводить (что?)	翻译
переводчик	译者
передавать (что? кому?)	转交，通知，转给
передать (что? кому?)	转交，通知，转给
передача	转播
перерыв	休息
переход	行程，转入，过渡
песня	歌，歌曲
петь (что?)	唱
писатель	作家
писать (что?)	写
письмо	信
план	平面图，计划
пластинка	唱片
платье	连衣裙
плохо	坏
площадь	广场，面积
плюс	加号，正号，加
по-английски	用英语
по-арабски	用阿拉伯语
повторить (что?)	重复
повторяй(те)	请重复
повторять (что?)	重复
погода	天气
подарить (что? кому?)	送
подарок	礼物
подготовительный факультет	预科系
подождать (что? кого?)	等一等
подруга	女朋友
подушка	枕头
поезд	火车
поехать (куда?)	去，前往
пожалуйста	请
позавчера	前天
познакомиться	认识
познакомь(ся)(тесь)	认识
по-испански	用西班牙语
пойдём(те)	我们走
пойти (куда?)	走，去
покажи(те)	展示
показать (что? кому?)	让...看，出示
покупать (что?)	买
пол	地板
поликлиника	门诊部
полка	架子，行李架
помогать (кому?)	帮助
помоги(те)	帮帮忙
помочь (кому?)	帮助
понедельник	星期一
по-немецки	用德语
понимать (что? кого?)	明白
по-русски	用俄语
послезавтра	后天
посмотреть (что?)	看
посмотри(те)	请看
построить (что?)	排队，建造
потом	以后，后来
потому что	因为
по-французски	用法语
почему	为什么
почта	邮局
почти	差不多，几乎
поэт	诗人
правда	真理
правильно	对，正确
правительство	政府
предложение	句子
предмет	物件，科目
прекрасно	美丽，非常好
преподаватель	教师
привет	问候，致意，敬礼
пригласить (кого? куда?)	请来，聘请
приглашать (кого? куда?)	请来，聘请
приглашение	邀请，请帖
приготовить (что?)	准备好，预备好
приезжать (куда?)	来到
приехать (куда?)	来到，抵达
приходи(те) в гости	来做客
приходить (куда?)	来到
приятно: очень приятно	乐意：非常乐意
проблема	问题
программа	纲要，节目
продукты	食物
проспект	街道
простыня	床单
процент	百分数
прочитай(те)	请读
прочитать (что?)	读完
путь	道路，路线
пятёрка	五，五分
пятнадцать	十五
пятница	星期五
пятый	第五
пять	五
пятьдесят	五十
пятьсот	五百



Р


работа	工作，劳动
работать	工作
рад, рада, рады	高兴
радио	无线电
радиопередача	无线电广播
раз	次，回
разве	难道，真的吗？
разговаривать	交谈
разный	不同的
ракета	爆竹，火箭
рано	早
раньше	比...早，以前
расписание занятий	课程表
рассказ	故事
рассказать (что?)	讲述
рассказывать (что?)	讲述
редко	稀有，罕见
река	河，河流
ректор	大学校长
республика	共和国
решать (что?)	决定，解答
решить (что?)	决定，解答
родина	祖国
родители	父母
родиться (где?)	出生
родной брат	亲兄弟
родной город	故乡
роза	玫瑰
рубашка	衬衫
рубль	卢布
рука	手
русский	俄语的
русско-английский	俄英的
русско-арабский	俄-阿拉伯的
русско-испанский	俄-西班牙的
русско-французский	俄法的
ручка	圆珠笔
рыба	鱼
ряд	排，行，列
рядом	并排，在旁边


С


с	从，自，和
сад	花园
сам	自己
самый	最，正是，就是
сахар	糖
свежий	新鲜的
свободное время	空闲时间
сделать (что?)	做完
сегодня	今天
седьмой	第七
сейчас	现在
секрет	秘密
семестр	学期
семнадцать	十七
семь 
семьдесят	七
七十
семьсот	七百
семья	家庭
сентябрь	九月
сердце	心脏
серьёзно	严肃，认真
сестра	姐妹
скажи(те)	请告诉
сказать (что? кому?)	告诉
скатерть	桌布
сколько?	多少
сколько времени?	几点了？
сколько стоит?	值多少钱
скоро	很快，不久
следующий	下一个
словарь	字典，词典
слово	单词
словосочетание	词组
слушай(те) (что?)	请听
слушать (что?)	听
смотреть (что7)	看
сначала	起初，再，重新
собрание	会议
собака	狗
совет	主意，劝告
современный	现代的
сок	果汁
соль	盐
сорок	四十
сосед, соседка	邻居，女邻居
составить (что?)	排列，摆放
составь(те)	放
спасибо	谢谢
снять (что?)	取下，摘下，脱下
специалист	专业人才
спорить	争吵
спорт	体育，运动
спортзал	体育馆
спортсмен	体育运动员
справа	从右边，在右边
спроси(те)	请问
спросить (кого?)	询问，打听
спутник	卫星
среда	星期三
стадион	体育场
стакан	杯子
станция	车站，站
старый	老的，古老的
старший брат	哥哥
статья	论文，文章
стена	墙
стихи	诗句
сто	一百
стол	桌子
столица	首都
столовая	食堂
стоматолог	口腔科专家
страна	国家，地区
страница	页，面
строительный	建筑的
строительный отряд	建筑队
строить (что?)	建筑，建造
студент	大学生
студентка	女大学生
студенческий	大学生的
стул	椅子
суббота	星期六
сувенир	纪念品
с удовольствием	很好，很高兴
сумка	袋，包
суп	汤
счастье	幸福
сын	儿子
сыр	干酪
сюда	到这里
	


Т


такси	出租车
там	那里
танцевать	跳舞
танцы	舞曲
твой, твоя, твоё, твои	你的
театр	剧院
тебя	你
текст	课文
телевизор	电视
телефон	电话
тело	事，事件
тема	主题
температура	温度
теперь	现在，目前
тепло	温暖
теплый	温暖的
термометр	温度计
тетрадь	本子
тётя	姨，姑
техник	技术员
техника	技术，工程
тихо	安静
товарищ	同志
тоже	也
только	只，仅
торт	蛋糕
точно	确定
трамвай	有轨电车
третий	第三
три	三
тридцать	三十
тринадцать	十三
триста	三百
троллейбус	无轨电车
трудно	难
трудный	难的
туда	向那里
тут	这里
ты	你
тысяча	一千
	



У


у: у меня есть	我有
ужин	晚饭
ужинать	吃晚饭
узбек	乌兹别克
улица	街道
университет	大学
упражнение	习题
урок	课
утро	早上，早晨
утром	在早上
утюг	熨斗
учёба	学习
учебник	教科书
учитель	老师
учить (что?)	教
учиться (где?)	学习
уютно	舒适


Ф


фабрика	工厂
факультет	系
фамилия	姓
физик	物理学家
физика	物理学
филолог	语文学家
филологический	语文学的
фильм	影片
фойе	休息室
фонетика	语音学
фонтан	喷泉
фото	照片
фотоаппарат	照相机
фотография	照片，照相馆
французский	法国的
французско-русский	法俄的
фрукты	水果
футбол	足球


Х


химик	化学家
химия	化学
хирург	外科医生
хлеб	黑面包
хоккей	冰球
холодильник	冰箱
холодно	冷
хор	合唱
хорошо	好
хотеть	想，想要





Ц


цветы	花
центр	中心
церковь	教会
цинк	锌
цирк	杂技，马戏
цифра	数字

Ч


чай	茶
час	小时
часто	经常
часы	钟，表
чей, чья, чьё, чьи	谁的
человек	人
чёрный	黑的
черчение	绘图
четверг	星期四
четвёртый	第四
четыре	四
четыреста	四百
четырнадцать	十四
что	什么
что это?	这是什么
что это такое?	这是什么
чувствовать себя	自我感觉


Ш


шапка	帽子
шар	球，气球
шарф	围巾
шахматы	象棋
шестнадцать	十六
шесть	六
шестьдесят	六十
шестьсот	六百
шкаф	柜子
школа	学校
школьник	学生
школьница	女学生
шоколад	巧克力
штора	窗帘
шуба	毛皮大衣，皮袄
шум	噪音，嘈杂声
шутить	说笑话，开玩笑
шутка	笑话


Э


экзамен	考试
экономист	经济学家
экономический	经济的
экскурсия	参观，游览
этаж	层
это	这是
	


Ю


юг	南方
юноша	青年


Я


я	我
яблоко	苹果
язык	语言，舌头
январь	一月


Часть  2

СЛОВАРЬ

А

aвангард  前卫，先锋队
автомобильный  汽车的
американский  美国的
анатомический  解剖（学）的
аттракцион  精彩节目，娱乐设备
аэропорт  飞机场

Б


белый  白色的
берег  岸（边），陆地
бильярд  台球  
бильярдный клуб  台球俱乐部
благодарить – поблагодарить 感谢
близкий  近的，亲近的，类似的
близко  近的，亲近的，类似的
блузка  女短衫
блюдо  盆（盘）子，菜
болеть – заболеть  生病
больше 更大，更多
ботанический сад  植物园
брюки  裤子
будущий  将来的，以后
бывать  有，存在，常到
быстрый  快的，敏捷的

В


вариант  处理方法，方案
везде  到处
великий  伟大的
верный  忠诚的，牢固的，可靠的，正确的
верхний  上面的
вечерний  傍晚的，黄昏的
виза  签证，签署
винительный падеж  第四格，宾格
вкусный  好吃的
внешность  外形，外表，外观
вниз  向下，往下
внизу  在…之下，在…的下面
возможен, возможна, -ы  可能的
вокзал  火车站
восьмой  第八
время  时间
вставать  – встать  起床，站立
вчерашний  昨天的
выделенный  分出的，
выделять – выделить  挑出，分出，选出
выигрывать – выиграть  赢，获胜
высказывание 意见，主张
